gene	log2(fold_change)	p_value
Lmnb1	0.811242	0.0004
Perp	-1.3915	0.0004
Scube1	1.14878	0.0004
Uhrf1	0.788034	0.0004
Aldh1l2	0.62623	0.00045
C3	-1.00513	0.00045
Aurka	0.835515	0.0005
Hsd11b2	-0.883863	0.0005
Slc7a2	-0.694375	0.0005
Cyfip2	-0.952708	0.00055
Myh11	-0.592793	0.00055
Nt5dc2	0.828493	0.0006
Cdh13	0.919186	0.00065
Spp1	-0.616582	0.00065
Acpp	-1.65114	0.0007
Cmklr1	1.93949	0.0007
Pcsk5	-0.695784	0.0007
Sh3tc2	1.53893	0.00075
Cdc25b	0.829292	0.00075
Itga11	-0.623287	0.00075
Slfn3	-2.68217	0.00075
Bcan	-1.7844	0.0008
Luzp2	-2.17277	0.0008
Nrep	0.631711	0.0008
Rbm46	0.95391	0.0008
Spon1	0.594528	0.0008
C1qtnf6	0.654795	0.00085
Col10a1	-0.797102	0.00085
Syt9	-3.33938	0.00085
AI467606	-3.44518	0.0009
Kif20b	0.814125	0.0009
Mcm3	0.662863	0.0009
Ndnf	1.88759	0.0009
Baiap2l1	-1.50265	0.00095
Fendrr	-1.50902	0.00095
Hoxc8	-1.70994	0.001
Pcsk6	-0.654537	0.001
Ptprz1	-0.67356	0.001
Aspm	0.852414	0.0011
Qrfpr	1.97097	0.0011
Gdpd3	2.0901	0.00115
Tnfrsf26	-1.27532	0.00115
Cmpk2	-1.87633	0.0012
Gm14420	0.656467	0.0012
1500015O10Rik	1.18677	0.0013
Ccnb1	0.675895	0.00135
Tcf21	0.680675	0.00135
Arhgap11a	0.689283	0.0014
Lingo1	-0.977471	0.0014
Palmd	1.53372	0.0014
Smc4	0.589878	0.0014
Usp18	-1.24838	0.0014
C330027C09Rik	0.734448	0.00145
Scand1	-0.875283	0.00145
Sntg2	-2.02143	0.00145
Ncapd2	0.682118	0.0015
Sema3c	-0.906076	0.0015
Ifit1	-1.46655	0.0016
Col11a1	0.578167	0.0017
Gpat2	-1.68397	0.0017
Myo7a	-0.846437	0.0017
Sparcl1	0.605611	0.0017
Troap	1.04057	0.0017
Cdca8	0.826511	0.00175
Racgap1	0.638431	0.00175
Ckap2l	0.738736	0.0018
Ect2	0.70832	0.0018
Htra4	-1.31974	0.0018
Kif2c	0.814133	0.0018
1700048O20Rik	-1.16702	0.00185
Ccnf	0.769569	0.00185
Gbgt1	1.21443	0.0019
Mlip	-1.66043	0.0019
Hspb2	-0.901258	0.00195
Nek2	0.809446	0.002
Dbf4	0.740703	0.00205
Ccdc3	-0.542691	0.0021
Kif4	0.752378	0.0021
Cacna1h	-1.04485	0.00215
Fos	-0.641131	0.00215
Ccnb1ip1	-1.82431	0.0023
Arhgap20	-0.741651	0.0024
Bora	1.0194	0.0024
Osr2	0.567467	0.0024
Tnfsf15	-0.643037	0.0024
Agap2	-0.792296	0.0025
Kif23	0.6976	0.0025
Sema3e	0.771489	0.00265
Plk1	0.662981	0.0027
Stc1	1.68777	0.0027
Dock8	0.695416	0.00275
Mkx	-0.768051	0.0028
S100g	-1.13254	0.0028
Adh7	1.22537	0.00285
Bub1	0.721896	0.00285
Cdca2	0.868892	0.00285
Fbln5	0.544236	0.00285
Ngfr	0.562017	0.00285
Mctp1	-0.79849	0.0029
Espl1	0.851481	0.00295
Chrna6	-3.48514	0.003
Diap3	0.665463	0.003
Dlgap5	0.761556	0.003
Eef1a2	-1.41675	0.003
Myo5c	-1.19132	0.0032
Tgfbi	1.23515	0.0032
Cpeb2	-0.54317	0.00325
Fam19a5	-0.633383	0.00325
Pnoc	-1.17311	0.00335
Apba2	-1.57911	0.00345
Tnik	-0.917964	0.00345
Slc16a2	0.551291	0.0035
Col8a2	0.972077	0.00355
Cthrc1	1.08709	0.00355
Nrbp2	-0.549727	0.0036
Medag	-0.522834	0.0037
Akr1c18	-0.720373	0.00385
Fxyd6	0.5513	0.00395
Limch1	-0.995732	0.004
Ncaph	0.701073	0.0041
Agtr1a	-0.545397	0.00415
Cdk1	0.56386	0.00415
Cd36	-1.98463	0.0042
Dnm1	0.586173	0.0042
Cenpf	0.70212	0.00425
Trf	2.6318	0.00425
Asb2	-0.63826	0.00435
Col6a3	0.651577	0.0045
Chrdl1	-1.95565	0.0046
Top2a	0.543638	0.0046
Serpinb6b	0.52314	0.00465
Trim59	0.552068	0.0047
Eln	0.502424	0.00475
Cntn1	-0.7751	0.0048
Gas2	1.03348	0.0048
Rrm2	0.534715	0.0048
Cdkn2a	0.517068	0.00485
Stox2	-0.601499	0.00485
Ace	-1.82681	0.0049
Mybl2	0.827416	0.0049
Pgam2	1.13534	0.0049
Bmper	-0.556197	0.00495
Cks1b	0.582279	0.00495
Tacc3	0.621565	0.005
Mt1	0.563094	0.0051
Chst15	-1.23639	0.0052
Scn3b	-1.50936	0.00525
Pgbd5	0.798357	0.0054
Kcnc3	-0.685677	0.00545
Skint7	-1.63085	0.00565
Timp3	-0.509059	0.00565
Gpm6b	0.615022	0.0057
I830012O16Rik	-1.39753	0.00575
Col3a1	0.57229	0.00605
Syt1	-0.868809	0.00615
Ltbp1	-0.49104	0.00625
Krt19	1.21964	0.0063
Lmtk3	0.942895	0.0063
Satb1	-1.31408	0.0064
Cebpa	-1.07383	0.00645
Casc5	0.766253	0.0066
Svip	-1.33203	0.0067
Rnf17	-2.01026	0.00675
Rbp1	0.471473	0.0068
Lrat	0.900058	0.00695
Dlk1	-1.28426	0.00705
Thsd1	-0.953193	0.00705
Dcaf12l1	-0.801696	0.0071
Ano1	-0.944694	0.00715
Ndc80	0.730839	0.00725
Erg	-1.7751	0.0073
Ptprq	-0.876242	0.0073
Gm53	1.47861	0.0074
Hunk	0.747671	0.00745
Sod3	-0.617394	0.00745
Cep55	0.650605	0.0076
Plk4	0.595721	0.0076
Trpc6	0.498945	0.0076
Lama4	0.504263	0.00765
Slc29a4	-2.04321	0.00765
1300002K09Rik	1.16914	0.0077
Ska3	0.857148	0.0077
Mcm5	0.550116	0.00775
Stom	-0.481166	0.00805
Incenp	0.578253	0.0081
Ap1s2	-0.482846	0.00835
Irx5	2.61268	0.0084
Prelp	-0.656303	0.00855
Sec16b	0.641677	0.00855
Adam23	-0.851409	0.0086
Mfsd6	-0.649948	0.0087
Nrtn	-1.14466	0.00875
Sgol1	0.77621	0.00875
Enpp2	-0.763739	0.0088
Mcm2	0.525961	0.0089
Irf7	-0.889088	0.009
Stmn1	0.552816	0.009
Asf1b	0.929736	0.00905
Ces2g	-1.94438	0.00915
H2afz	0.458342	0.00915
Gpr124	0.461967	0.0092
Dtl	0.677207	0.0093
Olfr1372-ps1	-1.14291	0.00935
Ecm1	-0.452951	0.0095
Pif1	0.965377	0.0095
Flt4	-1.10396	0.00955
Klhl14	-1.61297	0.0096
Bpifc	-0.654749	0.00975
Gimap6	-2.0752	0.00985
Vgf	1.02326	0.00985
Aldh1a7	1.20579	0.0099
Armcx4	0.572206	0.0099
Twist2	0.538616	0.0099
Fmo2	-0.511858	0.01005
Aldh1a1	-0.550037	0.01015
Lynx1	-0.462233	0.01015
Net1	-0.469989	0.01025
Cspg4	-1.03423	0.01035
Ndn	-0.469529	0.01035
Chi3l1	-2.06696	0.01045
Knstrn	0.674522	0.01045
Slc30a10	-1.4003	0.0105
Anln	0.476479	0.0105
Gucy1a3	0.461534	0.0106
Krt18	1.13809	0.0106
Parm1	-0.643955	0.01095
Ccnb2	0.60784	0.0112
Fggy	-0.615363	0.0113
Mamdc2	0.516828	0.0113
E2f7	0.751059	0.01135
Chac1	-0.555881	0.0114
Dmrt2	-0.823782	0.0115
Ifi44	-2.21179	0.01165
Grb10	0.456297	0.0117
Lypd6	-1.17518	0.012
Plch1	1.13498	0.012
Vash2	0.636498	0.012
Cdca7	0.612719	0.01215
Bmyc	-0.778616	0.0123
Hcn4	-1.47083	0.0124
Naalad2	-0.499041	0.0126
Foxf1	-0.567201	0.0127
Snora62	-0.232744	0.01295
Sgol2	0.654082	0.0131
Zfp783	1.2828	0.0132
Rab3il1	0.854554	0.0135
Mcm4	0.477553	0.01355
Thbd	-0.464332	0.01375
Enc1	-0.45928	0.0139
Ism1	-1.44884	0.0142
Sdsl	-0.735242	0.0142
Rarres1	-1.15444	0.01425
Slc35f2	-1.50139	0.01425
Snord89	#NUM!	0.0144
Tnnt2	1.2602	0.0145
Oasl1	-1.48288	0.01465
Vstm2a	-1.9176	0.0149
Dtx1	-1.35248	0.01495
Ttyh3	0.440798	0.01515
Lgals3bp	-0.449168	0.0152
Pdzd2	-0.778304	0.01525
Epas1	-0.506824	0.0153
Acp5	0.846247	0.01545
Cyp4a12b	-1.45629	0.01545
Heph	0.444003	0.01545
H2afj	-0.479153	0.01565
Angptl4	0.446782	0.0157
Kif11	0.543691	0.01575
Mis18bp1	0.728297	0.01575
Vmn1r53	1.32962	0.0158
Oasl2	-0.93266	0.01595
Popdc2	-0.960975	0.016
A430105I19Rik	-0.448443	0.0161
Scn3a	-0.966738	0.0162
Fam213a	0.426659	0.0168
Pgf	0.922385	0.01685
A330050F15Rik	-0.820662	0.017
Il2rg	-1.21914	0.01705
Kif14	0.717103	0.0171
Slco3a1	-0.493371	0.01715
Myrip	-0.580634	0.0173
Peg3as	1.29077	0.01745
Bcam	-0.564085	0.01755
Rbp4	-0.460572	0.01765
Sfrp4	-0.430583	0.01765
Als2cl	-1.09851	0.0177
Ldoc1	2.9676	0.0177
Bahcc1	-0.50919	0.0178
Myb	-1.20863	0.01785
Foxm1	0.493586	0.0179
Tfr2	-1.14269	0.01795
4930579G24Rik	0.558457	0.018
Iqgap3	0.607402	0.01805
Gm5506	0.417493	0.0181
Fxyd5	-0.432916	0.0182
Coro6	-0.646864	0.01825
Ehd4	-0.422001	0.01825
Map3k5	-0.598741	0.01835
Spint2	-0.568194	0.01845
Smoc1	-0.441934	0.0186
Add2	0.566476	0.01865
Dcn	-0.468956	0.01875
Thy1	-0.432898	0.01875
Casp1	-1.41483	0.01885
Kntc1	0.621534	0.019
C2	-0.515646	0.01905
Clspn	0.647835	0.0194
Fgd5	-1.36137	0.0195
Gdf6	-0.455973	0.01965
Adarb1	-0.491946	0.0197
Sirpa	-0.498318	0.0198
Spink2	1.59149	0.01985
Cygb	-0.866972	0.0201
Fam84a	-1.00891	0.0202
Tnfrsf11b	-0.475752	0.0202
Kif22	0.56949	0.0204
2700094K13Rik	0.589965	0.02045
A530016L24Rik	-1.50696	0.02065
Emp1	0.414729	0.02065
"Eno1,Gm5506"	0.429348	0.02065
Pcp4	0.988727	0.02065
Serpina3n	-0.657111	0.0207
Snord15a	-0.142627	0.02085
Fam81a	-1.06924	0.02155
Iigp1	-1.21653	0.02175
Slitrk5	1.14213	0.0219
Mtss1l	0.409158	0.02205
Alx1	1.2909	0.0221
Sept4	-0.820442	0.0222
Ntn1	-0.742778	0.02235
Myrf	0.59823	0.02245
Scg5	-1.75937	0.0226
H19	1.02798	0.0228
Lyve1	-0.664831	0.0231
Col1a1	0.612311	0.0232
Nasp	0.469274	0.0232
Ssr2	0.4076	0.02325
Tspan13	-0.417342	0.0233
Ephb6	-0.602387	0.02335
Il1rapl2	1.09728	0.02335
Astn1	1.21612	0.0236
Bmf	0.575037	0.0236
Cdca3	0.583612	0.0236
Mmp3	-0.724259	0.02425
Nalcn	-0.878061	0.02445
Ano3	-0.661849	0.02475
Pdia5	0.430366	0.0248
Anxa8	-1.18263	0.0249
Bmp3	-1.04178	0.025
Exo1	0.809736	0.02505
Star	-0.593367	0.02525
Fam150a	-0.624433	0.0253
Ly6c1	0.850482	0.0259
Pla2g7	1.07546	0.026
Hnrnpd	0.40582	0.0261
Phf13	0.438239	0.0262
Kif18b	0.648819	0.02655
Chaf1a	0.50548	0.0266
Tbxa2r	-0.682023	0.027
Clip4	-0.506953	0.02705
Cdc25c	0.793279	0.02725
Ncapg2	0.492664	0.02725
Cx3cl1	-0.404365	0.0273
Zfp641	-1.11823	0.0274
Chst8	0.487231	0.02745
Ephx1	-0.39129	0.02755
Dock11	0.446497	0.0276
Pmf1	0.61393	0.02765
Kifc1	0.621196	0.02775
Tmem158	-0.49241	0.0278
Olr1	-0.575368	0.02815
Arap1	0.40475	0.0282
Isoc1	-0.38784	0.0283
Neat1	-0.413574	0.0284
Ifi30	0.413928	0.02845
Ppp1r1a	-1.35856	0.02845
Srpx2	0.885699	0.0286
Psma8	1.50891	0.02865
Ptpn5	-0.390922	0.02865
Cdk5r1	-0.651466	0.02885
Pde8a	-0.660614	0.0289
Ccna2	0.579599	0.02895
Hmga2	0.387439	0.0291
Hells	0.500256	0.02915
Fcho1	-1.42217	0.02945
Heg1	-0.415231	0.02955
Ren1	-1.36911	0.0298
Inhbb	-0.416778	0.02985
Ldb2	0.541071	0.0299
Frzb	-0.39709	0.03005
Sft2d2	-0.445012	0.03025
Polq	0.806406	0.03045
Cadm3	1.18458	0.0307
Msx1as	0.637289	0.03075
Plac8	-0.388412	0.03095
Ptma	0.411061	0.031
Ltbp4	0.39692	0.0314
Ppm1e	-1.10444	0.03155
Itm2a	-0.974733	0.03165
Pcolce2	3.24947	0.03175
Ccl8	-0.807334	0.0321
Kcnk1	-1.17454	0.03215
Myh10	-0.415196	0.03215
Cyp2j9	-1.25804	0.03245
N28178	-0.669565	0.0325
Crispld1	0.998606	0.03255
Khdrbs3	-0.448094	0.0326
Tbx6	-1.23753	0.03295
Gucy1b3	0.386612	0.03305
Abca1	0.384055	0.0331
Fbxo5	0.604461	0.0331
Cox6b2	-0.571678	0.0332
Smc2	0.426246	0.0334
Cenpn	0.626966	0.03355
Ldb3	-0.523122	0.0336
Kif18a	0.661878	0.03375
Dnmt1	0.394828	0.0337
Ube2ql1	-0.786405	0.03385
Bcl2l11	0.428958	0.03405
Fam101b	-0.402514	0.03405
Sorcs1	-0.470287	0.03425
Prokr1	1.25204	0.0343
Rasl10b	-0.619294	0.0343
Slc52a3	-0.809478	0.0345
Zbp1	-1.61399	0.03465
Zfpm2	-0.654945	0.0348
Ppp1r9a	-0.716798	0.0349
Dmpk	-0.377365	0.035
Fam189a2	-0.384534	0.03515
En1	-0.635805	0.03535
Pamr1	-0.417418	0.03535
Plcg2	-0.861736	0.03535
Gpr133	-0.681225	0.03545
Sphkap	-0.423437	0.03555
Ahrr	-0.850713	0.03565
Cks2	0.467614	0.03565
Slc8a1	-0.395456	0.03565
Cpt1c	-0.379512	0.03575
Trpc1	-0.583959	0.0363
Egflam	-1.03033	0.03655
Snai2	0.403127	0.03665
Dis3	0.462245	0.0368
Fyco1	-0.371901	0.03705
Lce1f	0.80987	0.0371
Mirg	-1.1826	0.03725
Rpa2	0.54472	0.03725
Ak2	0.393046	0.03735
Kif15	0.616946	0.03795
Lig1	0.506423	0.038
Flrt2	0.416875	0.0385
Serping1	0.375681	0.0388
Cdc45	0.57888	0.03905
Lims2	-0.382246	0.0392
Lrrn4cl	-0.538586	0.03935
Melk	0.62679	0.03935
Abcb1a	-0.504911	0.03975
F2r	-0.423991	0.03975
Adam12	0.366122	0.0399
Col1a2	0.634293	0.03995
Dusp14	-0.484261	0.0404
Rere	0.364734	0.04065
Vtcn1	-0.41058	0.04075
Fam71f2	2.26039	0.0408
Skida1	0.666345	0.04085
Igfbp6	-0.365548	0.0412
Syne3	0.707606	0.0414
Tecrl	-1.55031	0.04175
Xdh	-0.365726	0.0418
Slamf1	-1.24232	0.04185
Gpr88	1.00287	0.0419
Ramp2	1.2016	0.042
Timeless	0.576734	0.0423
9430015G10Rik	0.581993	0.04235
Sh2d3c	1.29699	0.04235
Cdk14	0.442421	0.04245
Osr1	-0.682034	0.0425
Rgs7	-0.679368	0.04255
Hgf	-0.593356	0.0426
Crmp1	-0.722226	0.04265
Bst1	1.15889	0.0428
Krt23	-1.95593	0.043
Dlg2	-0.831179	0.04305
Syt13	-1.02832	0.0432
Arhgef6	-0.561361	0.04335
Ehd3	-0.483502	0.0434
Galnt3	0.874574	0.04365
Mrvi1	-0.366279	0.0441
Dpep2	-0.887294	0.04415
Eva1a	0.67689	0.0442
Kcp	0.530028	0.04435
Skp2	0.512196	0.04435
Abat	-0.437776	0.0448
Plxdc2	-0.38443	0.0448
Ucp2	0.375957	0.0449
Nusap1	0.517971	0.0455
Prl8a2	1.36609	0.04565
Itga1	-0.458542	0.04615
Rtp4	-1.01081	0.0464
Tcof1	0.401202	0.04645
Siglecg	-0.3983	0.0465
Nuf2	0.508844	0.04655
D930015E06Rik	0.471645	0.0466
Frk	-0.38994	0.04675
Crlf2	-0.41611	0.0471
Fam134b	-0.468563	0.04715
Rerg	-0.356238	0.0472
Pvrl1	-0.393695	0.0478
Zwilch	0.470591	0.048
Nrk	0.770041	0.0481
Igf2bp2	0.35315	0.0482
Birc5	0.507223	0.0483
Gm216	-0.759907	0.04855
Nkain1	0.379923	0.04875
Mpp7	-0.475626	0.0488
Ppic	0.350041	0.0489
Apcdd1	0.468489	0.04895
Doc2b	-0.599599	0.049
Tpd52l1	-0.42011	0.04915
Dok6	-1.21679	0.04945
Malat1	-0.360049	0.04965
Cacna2d1	-0.343175	0.04975
Efhd1	-0.974036	0.04985
Myh14	-0.378213	0.04985
Phactr1	-0.398844	0.04985
Has2	0.541343	0.05005
Caps2	-1.13375	0.0502
Serpina3h	-0.739928	0.05025
Gspt2	-0.595068	0.0503
Fam109b	0.474265	0.05035
Glt25d2	0.899599	0.05065
Pi15	0.346557	0.0507
Shcbp1	0.537412	0.0507
Rcc1	0.407631	0.05075
Efna5	-0.61936	0.05085
Ggt5	0.360215	0.0509
Atp8b1	0.352268	0.0514
1700019N19Rik	-1.10025	0.0517
Fam174b	-1.04487	0.0518
Isg15	-0.700502	0.05195
4930433N12Rik	-1.12278	0.05235
AW549542	0.696459	0.0526
Ercc6l	0.587391	0.053
Wfs1	-0.34717	0.0531
ORF63	-0.355581	0.0532
Prrx2	0.490643	0.0532
Reps2	0.410229	0.05335
Trdn	-0.898472	0.05355
Celf2	-0.413673	0.0536
Samd9l	-0.409469	0.0538
Lepr	-0.651089	0.0539
Nr1h3	-0.867581	0.0539
Zdhhc15	0.690788	0.054
Npr3	-0.343698	0.05405
Sp100	-0.773701	0.0542
Foxp2	-0.690255	0.05445
Chsy3	-0.611626	0.0555
St3gal4	0.547372	0.0557
Nudt13	-0.593441	0.05575
Prc1	0.362454	0.0559
Klhl29	-0.831295	0.05625
Spns2	-0.355149	0.05625
Isg20l2	0.375678	0.0564
Zfp395	0.435364	0.0566
Ildr2	-0.609691	0.05685
Ampd3	0.339573	0.05695
Cd248	0.359913	0.05705
Mir24-2	#NUM!	0.05705
Suv39h1	0.434557	0.0575
Slc37a2	-0.419955	0.0577
Pbk	0.503855	0.0581
Pard3b	-0.538317	0.05825
Ctnnbip1	0.474174	0.0584
Klhl6	-0.658381	0.0587
Cwc22	-0.33853	0.05875
Osbpl3	0.547436	0.05895
6530402F18Rik	-0.642648	0.0591
Fam83d	0.517617	0.05935
Il1f10	-1.56893	0.0595
Slc12a2	-0.348103	0.0595
Csf1r	-0.70069	0.06005
Mcm10	0.549044	0.0601
2810433D01Rik	-0.683683	0.06025
Apoe	0.349229	0.06035
Igfbp5	0.349715	0.06035
Nr2f6	-0.34722	0.06065
Nup160	0.388993	0.06075
C4b	-0.613469	0.06085
Leng8	-0.33813	0.06085
Mirlet7c-2	#NUM!	0.06105
Ebf3	-0.866259	0.06135
Pdpn	-0.601538	0.06135
Hid1	-0.598905	0.0616
Snord35a	-1.86225	0.0616
1190002F15Rik	0.869213	0.0617
Nol4	-0.848302	0.06175
4930413G21Rik	-0.578191	0.0618
Arhgap19	0.560791	0.0619
Cstad	-1.07538	0.06215
Epha3	0.359328	0.06235
Snora33	0.0470648	0.0625
Myom1	-0.327964	0.0629
Nox4	-0.415471	0.06345
Elf2	0.356266	0.0636
Lrrn1	-1.11581	0.06405
Col5a1	0.360509	0.06455
Chrdl2	-1.3891	0.06465
Sh3bp5	0.345413	0.0652
Zcchc5	0.503484	0.06535
Itga4	0.43029	0.0659
Rmrp	1.38569	0.0659
Gpx7	0.384372	0.06615
Batf	-1.31444	0.067
Slc27a3	0.669571	0.06705
Ostc	0.328274	0.06745
Arhgap31	0.33865	0.06765
Kpna2	0.321424	0.06765
Enpp3	0.655071	0.06835
Lyar	0.393953	0.0684
Fam161a	-0.589857	0.06865
Rsg1	1.44923	0.06865
Cited2	-0.35266	0.06875
Gzme	-1.12992	0.0688
Angpt2	0.508862	0.06885
E2f8	0.605929	0.06955
Srgap3	-0.326253	0.0696
Cblb	0.369522	0.0699
Il1rl1	0.778095	0.06995
Gpsm2	0.524345	0.07005
Srsf4	0.36076	0.07045
Cys1	-0.617214	0.0705
Tnfaip8l1	0.882156	0.0706
Kank4	0.791625	0.0708
Pi16	-1.26598	0.0709
Rxfp1	-0.355229	0.07095
Phlda3	-0.326695	0.0711
Parpbp	0.562674	0.07115
Npr1	-0.499456	0.0712
Ptprf	0.336394	0.07125
Sfmbt1	-0.452145	0.07125
Trpc3	-0.491172	0.07125
Adm	0.355603	0.0716
Prima1	-1.00274	0.0716
Tnfaip8l3	-0.321415	0.0717
Mir143hg	-0.453028	0.0718
Cdh2	0.342055	0.0719
Tgm2	-0.324196	0.0719
Aox3	-1.01346	0.07195
Pth1r	-0.570948	0.0722
Robo2	-0.749055	0.0725
AI427809	0.993202	0.07255
Ankrd35	0.859141	0.0729
Pctp	-0.719024	0.073
Chchd10	-0.587605	0.07315
Tmem151b	-0.829022	0.07315
Pcp4l1	-0.503322	0.0735
Nolc1	0.328727	0.07355
Fam65b	0.451121	0.07375
Snora75	1.55204	0.0738
Apol10b	-0.377565	0.074
Ostn	-1.89916	0.074
Ezh2	0.395334	0.07425
Tmtc1	-0.524087	0.0743
Cxcr7	0.433765	0.07435
Nipal3	-0.587852	0.07455
Prss12	-0.711252	0.0746
Rpl22	0.314578	0.07465
Rcc2	0.317862	0.0747
Chrd	-0.409271	0.07475
Lgi2	0.618028	0.0748
Mum1l1	0.413365	0.0748
Ppp1r14a	-0.533226	0.07495
Ppp1r3c	-0.345001	0.075
Ret	-0.862788	0.075
Spag5	0.438172	0.07515
Tmem47	-0.320274	0.0752
Tmem238	-0.808472	0.0753
Gpr153	0.339741	0.07545
Ctxn3	-1.58235	0.07555
Bfsp1	-1.07383	0.0757
Idh2	0.322117	0.07595
Tmem86a	-0.316348	0.07595
Gfra1	0.544352	0.076
Mcm6	0.331006	0.0761
Ttk	0.521822	0.07615
Trim66	-0.704677	0.07635
Cdc20	0.921107	0.07675
Vdr	-0.728216	0.077
AF357399	#NUM!	0.0772
Cdt1	0.45279	0.0772
Fip1l1	0.336525	0.0772
Peg10	0.44162	0.0774
Kcnma1	0.388553	0.07745
Aurkb	0.460914	0.0776
Fam64a	0.456166	0.07765
Xrcc2	0.468306	0.0783
Gm20748	-0.536067	0.0786
Zbtb4	-0.317275	0.0786
Abca2	-0.324408	0.07875
Cpxm1	0.322399	0.0791
Zfp820	0.669731	0.0792
Smad6	-0.383429	0.07935
Dlc1	-0.310643	0.0795
4930539J05Rik	-0.998332	0.07995
Map7	-0.536627	0.0806
Hdgf	0.305155	0.08065
Uap1l1	0.325619	0.0808
Fam107b	0.356797	0.08125
Gabra2	-4.45178	0.08125
Cdh18	-0.682883	0.0813
Mt2	0.412613	0.08165
Dcakd	0.359694	0.08185
Lce1h	0.566625	0.08225
Trim30a	-0.81836	0.0823
Ly75	0.366309	0.08255
Arhgef28	-0.488938	0.0828
Slc29a1	0.433111	0.0829
Zfp612	-0.547527	0.0829
2900005J15Rik	-0.767099	0.083
Pcsk1n	1.28231	0.08305
Vldlr	-0.305321	0.08305
Wdhd1	0.486174	0.08305
Gm6793	0.371027	0.0831
Runx1	-0.350305	0.0831
Fscn1	0.306381	0.0838
Atp8b2	0.304144	0.08395
Vax2	-0.918234	0.0841
Gm14446	-1.13947	0.0844
Chaf1b	0.443053	0.08465
Fgfbp3	-0.583462	0.085
Rad51	0.506196	0.0853
Prkaa2	-0.358254	0.08545
Alpk2	-0.518616	0.0855
Gpr44	-0.879525	0.0855
Pdia6	0.308424	0.08555
Tex2	-0.326284	0.08565
Psip1	0.325856	0.08595
Echdc3	-0.553001	0.08635
Col15a1	0.338801	0.08645
Snord16a	1.30823	0.0865
Vstm2b	-0.797961	0.08655
Ldhb	-0.309022	0.08665
Cdca4	0.335879	0.08675
Kcnd3	-0.694791	0.0868
Zfp771	-0.403708	0.087
Lrp3	-0.3534	0.08725
Trp53i11	-0.501581	0.0873
Klf2	-0.36109	0.0875
Slc2a13	-0.695058	0.0875
G2e3	0.384249	0.08775
Tchh	-0.720056	0.08775
Tmsb10	0.303158	0.0878
Amer1	0.401529	0.08815
Rab27b	-0.485568	0.0882
Pkig	-0.313293	0.0884
Angpt1	0.580399	0.0886
Dok3	-0.952673	0.08875
Etl4	0.368174	0.089
Hmmr	0.381276	0.08905
Abcc9	0.52622	0.08915
Klra2	-1.05942	0.08925
Car8	-0.811695	0.08945
Nptx2	-0.561466	0.0895
Rnf144a	0.442976	0.0895
Pik3c2b	-0.774279	0.08965
